6.5,2.8,4.6,1.5,Iris-versicolor,2,0.811740348
5.5,2.4,3.7,1,Iris-versicolor,2,0.738384733
7.9,3.8,6.4,2,Iris-virginica,3,0.411514395
6,2.9,4.5,1.5,Iris-versicolor,2,0.943481981
5.8,2.7,3.9,1.2,Iris-versicolor,2,0.464791968
6.3,2.8,5.1,1.5,Iris-virginica,3,0.592524626
5.1,3.5,1.4,0.3,Iris-setosa,1,0.199597183
6.3,3.3,4.7,1.6,Iris-versicolor,2,0.45560347
4.7,3.2,1.6,0.2,Iris-setosa,1,0.678658212
5.4,3,4.5,1.5,Iris-versicolor,2,0.278197774
5.7,2.9,4.2,1.3,Iris-versicolor,2,0.471443064
5.2,2.7,3.9,1.4,Iris-versicolor,2,0.644486208
5.1,3.8,1.9,0.4,Iris-setosa,1,0.741341351
6.4,2.8,5.6,2.2,Iris-virginica,3,0.892000744
4.8,3.4,1.9,0.2,Iris-setosa,1,0.371446363
5.1,3.4,1.5,0.2,Iris-setosa,1,0.426264118
5.8,2.7,5.1,1.9,Iris-virginica,3,0.004313913
5.6,3,4.1,1.3,Iris-versicolor,2,0.677122244
5.1,2.5,3,1.1,Iris-versicolor,2,0.434067315
6.9,3.2,5.7,2.3,Iris-virginica,3,0.923833432
6.1,2.8,4,1.3,Iris-versicolor,2,0.724329076
6.5,3,5.5,1.8,Iris-virginica,3,0.59993574
6.4,2.9,4.3,1.3,Iris-versicolor,2,0.423503876
7.6,3,6.6,2.1,Iris-virginica,3,0.884039439
7.2,3.2,6,1.8,Iris-virginica,3,0.2419597
6.2,2.8,4.8,1.8,Iris-virginica,3,0.584447653
5,3.5,1.6,0.6,Iris-setosa,1,0.231904607
6.3,3.3,6,2.5,Iris-virginica,3,0.815781083
6.2,2.2,4.5,1.5,Iris-versicolor,2,0.703740109
6.8,2.8,4.8,1.4,Iris-versicolor,2,0.161059926
6.6,2.9,4.6,1.3,Iris-versicolor,2,0.738286655
5,3,1.6,0.2,Iris-setosa,1,0.691064531
5.6,2.8,4.9,2,Iris-virginica,3,0.016039797
4.8,3,1.4,0.3,Iris-setosa,1,0.878921988
4.8,3.4,1.6,0.2,Iris-setosa,1,0.456169143
6.7,3.1,4.7,1.5,Iris-versicolor,2,0.822517617
5.1,3.8,1.6,0.2,Iris-setosa,1,0.790832173
6.6,3,4.4,1.4,Iris-versicolor,2,0.171134707
6.7,3.1,4.4,1.4,Iris-versicolor,2,0.554858907
6.8,3.2,5.9,2.3,Iris-virginica,3,0.921795788
6,2.2,4,1,Iris-versicolor,2,0.852653705
6.2,2.9,4.3,1.3,Iris-versicolor,2,0.418695564
5.8,4,1.2,0.2,Iris-setosa,1,0.806110206
4.9,3.1,1.5,0.1,Iris-setosa,1,0.14945365
5.8,2.8,5.1,2.4,Iris-virginica,3,0.385505436
4.4,2.9,1.4,0.2,Iris-setosa,1,0.587990716
6,3.4,4.5,1.6,Iris-versicolor,2,0.914761099
5.7,4.4,1.5,0.4,Iris-setosa,1,0.395206214
4.7,3.2,1.3,0.2,Iris-setosa,1,0.440871293
5.5,3.5,1.3,0.2,Iris-setosa,1,0.016222079
7.7,3,6.1,2.3,Iris-virginica,3,0.064013641
6.5,3.2,5.1,2,Iris-virginica,3,0.296946189
6.1,3,4.6,1.4,Iris-versicolor,2,0.497659599
7.4,2.8,6.1,1.9,Iris-virginica,3,0.129505489
4.6,3.6,1,0.2,Iris-setosa,1,0.744365627
5.1,3.7,1.5,0.4,Iris-setosa,1,0.609401623
7.1,3,5.9,2.1,Iris-virginica,3,0.616617887
6.9,3.1,4.9,1.5,Iris-versicolor,2,0.635903628
5.7,2.8,4.5,1.3,Iris-versicolor,2,0.593585523
6.2,3.4,5.4,2.3,Iris-virginica,3,0.499892138
5.7,2.5,5,2,Iris-virginica,3,0.285547585
6.1,2.6,5.6,1.4,Iris-virginica,3,0.163559009
6.4,3.1,5.5,1.8,Iris-virginica,3,0.004470942
6.1,2.8,4.7,1.2,Iris-versicolor,2,0.207031204
4.6,3.4,1.4,0.3,Iris-setosa,1,0.933609464
5.2,3.5,1.5,0.2,Iris-setosa,1,0.914776706
5.6,2.7,4.2,1.3,Iris-versicolor,2,0.292714243
7.2,3,5.8,1.6,Iris-virginica,3,0.342370311
5.2,3.4,1.4,0.2,Iris-setosa,1,0.465551842
5.7,2.6,3.5,1,Iris-versicolor,2,0.021138415
6.9,3.1,5.1,2.3,Iris-virginica,3,0.327677786
6.4,2.8,5.6,2.1,Iris-virginica,3,0.24566545
4.5,2.3,1.3,0.3,Iris-setosa,1,0.739147544
5,3.6,1.4,0.2,Iris-setosa,1,0.517875359
6.7,3.1,5.6,2.4,Iris-virginica,3,0.23946842
5.6,3,4.5,1.5,Iris-versicolor,2,0.844226905
7,3.2,4.7,1.4,Iris-versicolor,2,0.566326587
6.5,3,5.8,2.2,Iris-virginica,3,0.334046178
5.8,2.7,5.1,1.9,Iris-virginica,3,0.49980334
6.8,3,5.5,2.1,Iris-virginica,3,0.481282258
5.5,2.3,4,1.3,Iris-versicolor,2,0.2271788
4.4,3,1.3,0.2,Iris-setosa,1,0.384763469
6.3,2.9,5.6,1.8,Iris-virginica,3,0.681144273
5.5,4.2,1.4,0.2,Iris-setosa,1,0.990237086
5.5,2.4,3.8,1.1,Iris-versicolor,2,0.661995228
5.9,3.2,4.8,1.8,Iris-versicolor,2,0.695397351
5.8,2.6,4,1.2,Iris-versicolor,2,0.992426456
5,3.3,1.4,0.2,Iris-setosa,1,0.879545502
6.1,2.9,4.7,1.4,Iris-versicolor,2,0.020953836
7.7,2.8,6.7,2,Iris-virginica,3,0.026603762
5.4,3.4,1.5,0.4,Iris-setosa,1,0.775958383
5.6,2.5,3.9,1.1,Iris-versicolor,2,0.706439537
5.7,3,4.2,1.2,Iris-versicolor,2,0.369684049
5.6,2.9,3.6,1.3,Iris-versicolor,2,0.809901822
5.4,3.9,1.3,0.4,Iris-setosa,1,0.421200566
4.6,3.1,1.5,0.2,Iris-setosa,1,0.674608426
5.4,3.7,1.5,0.2,Iris-setosa,1,0.397957421
6,2.7,5.1,1.6,Iris-versicolor,2,0.149016753
5.1,3.8,1.5,0.3,Iris-setosa,1,0.259689119
7.3,2.9,6.3,1.8,Iris-virginica,3,0.694127237
6.3,2.7,4.9,1.8,Iris-virginica,3,0.213936101
7.7,3.8,6.7,2.2,Iris-virginica,3,0.237123232
6.3,3.4,5.6,2.4,Iris-virginica,3,0.941991217
4.9,3.1,1.5,0.1,Iris-setosa,1,0.349603159
5,3.4,1.5,0.2,Iris-setosa,1,0.646804299
5.3,3.7,1.5,0.2,Iris-setosa,1,0.314889176
5.2,4.1,1.5,0.1,Iris-setosa,1,0.617030416
6.7,3,5,1.7,Iris-versicolor,2,0.361719671
6.4,2.7,5.3,1.9,Iris-virginica,3,0.898169151
5,3.4,1.6,0.4,Iris-setosa,1,0.804454677
4.6,3.2,1.4,0.2,Iris-setosa,1,0.250472336
6.1,3,4.9,1.8,Iris-virginica,3,0.368479909
6.7,3.3,5.7,2.1,Iris-virginica,3,0.854965261
6.4,3.2,4.5,1.5,Iris-versicolor,2,0.574198806
5,3.2,1.2,0.2,Iris-setosa,1,0.924672842
5.5,2.6,4.4,1.2,Iris-versicolor,2,0.797376122
6.3,2.5,5,1.9,Iris-virginica,3,0.838093197
6.9,3.1,5.4,2.1,Iris-virginica,3,0.506952365
5.7,3.8,1.7,0.3,Iris-setosa,1,0.574859613
6,2.2,5,1.5,Iris-virginica,3,0.519881468
6.7,3,5.2,2.3,Iris-virginica,3,0.082933699
5.9,3,4.2,1.5,Iris-versicolor,2,0.409126554
5.9,3,5.1,1.8,Iris-virginica,3,0.758946114
6.3,2.3,4.4,1.3,Iris-versicolor,2,0.875411551
5.7,2.8,4.1,1.3,Iris-versicolor,2,0.371743204
5.1,3.5,1.4,0.2,Iris-setosa,1,0.67533549
6.3,2.5,4.9,1.5,Iris-versicolor,2,0.439948106
4.4,3.2,1.3,0.2,Iris-setosa,1,0.818512413
4.9,2.4,3.3,1,Iris-versicolor,2,0.498508873
4.9,3,1.4,0.2,Iris-setosa,1,0.465519203
7.2,3.6,6.1,2.5,Iris-virginica,3,0.20593752
4.8,3,1.4,0.1,Iris-setosa,1,0.014173416
6.7,2.5,5.8,1.8,Iris-virginica,3,0.959778204
6.5,3,5.2,2,Iris-virginica,3,0.635648341
5.1,3.3,1.7,0.5,Iris-setosa,1,0.694543918
4.9,3.1,1.5,0.1,Iris-setosa,1,0.77478972
5.4,3.4,1.7,0.2,Iris-setosa,1,0.6424836
6,3,4.8,1.8,Iris-virginica,3,0.201086407
5.4,3.9,1.7,0.4,Iris-setosa,1,0.496846849
7.7,2.6,6.9,2.3,Iris-virginica,3,0.42556629
4.3,3,1.1,0.1,Iris-setosa,1,0.005096898
6.7,3.3,5.7,2.5,Iris-virginica,3,0.593542834
6.4,3.2,5.3,2.3,Iris-virginica,3,0.10093621
5,2,3.5,1,Iris-versicolor,2,0.492936621
5,2.3,3.3,1,Iris-versicolor,2,0.495180723
5.8,2.7,4.1,1,Iris-versicolor,2,0.104717222
4.8,3.1,1.6,0.2,Iris-setosa,1,0.979958334
4.9,2.5,4.5,1.7,Iris-virginica,3,0.442778507
5.5,2.5,4,1.3,Iris-versicolor,2,0.50976917
5,3.5,1.3,0.3,Iris-setosa,1,0.28563831
